name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
maggie,2017-03-09 10:35:20.554000,1,22,187,227,1,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,23,53,187,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,24,488,565,1,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,25,387,488,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,26,154,241,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,27,290,387,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,28,177,236,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,29,325,380,1,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,30,90,193,1,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,31,182,275,1,zipper,3,None,0
maggie,2017-03-09 10:35:20.554000,1,32,103,182,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,33,332,412,1,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,34,262,332,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,35,150,262,1,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,36,105,150,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,37,218,342,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,38,146,218,0,zipper,2,None,0
maggie,2017-03-09 10:35:20.554000,1,39,139,146,1,zipper,1,None,0
maggie,2017-03-09 10:35:20.554000,1,40,275,345,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,41,236,325,0,zipper,1,None,0
maggie,2017-03-09 10:35:20.554000,1,42,182,275,1,zipper,3,None,0
maggie,2017-03-09 10:35:20.554000,1,43,539,540,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,44,113,539,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,45,288,360,1,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,46,255,288,1,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,47,162,255,1,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,48,94,162,1,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,49,318,371,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,50,213,318,0,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,51,203,213,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,52,55,203,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,53,380,473,0,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,54,103,182,1,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,55,265,290,1,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,56,113,174,1,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,57,90,193,1,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,58,182,275,0,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,59,103,182,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,60,477,521,1,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,61,418,477,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,62,352,418,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,63,276,352,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,64,182,276,0,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,65,103,182,0,zipper,-1,None,1
maggie,2017-03-09 10:35:20.554000,1,65,103,182,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,66,508,517,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,67,371,508,1,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,68,318,371,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,69,213,318,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,70,203,213,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,71,55,203,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,72,456,512,0,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,73,357,456,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,74,299,357,0,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,75,237,299,1,zipper,5,None,0
maggie,2017-03-09 10:35:20.554000,1,76,191,237,1,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,77,60,191,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,78,193,265,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,79,422,462,1,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,80,306,422,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,81,273,306,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,82,166,273,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,83,275,345,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,84,345,440,1,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,85,462,499,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,86,494,525,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,87,440,494,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,88,430,561,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,89,374,430,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,90,244,350,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,91,158,244,1,zipper,1,None,0
maggie,2017-03-09 10:35:20.554000,1,92,118,158,0,zipper,1,None,0
