,sound_x,sound_y,similarity
301,111,150,0.007692797544314531
302,111,154,0.011966101537759571
303,111,155,0.014417739543887757
304,111,158,0.013357482901624331
305,111,161,0.007899804664223523
306,111,162,0.009083465134837666
307,111,163,0.007178662240295793
308,111,165,0.00994920729423722
309,111,166,0.008309810413231594
310,111,167,0.00951101674550467
311,111,173,0.012145106716358836
312,111,174,0.010342230377216865
313,111,175,0.009612189204200159
314,111,176,0.013253547074710556
315,111,177,0.009590557019552241
316,111,179,0.009641294126412094
317,111,181,0.006096674575806082
318,111,182,0.007549112357505799
319,111,183,0.007581727981527593
320,111,184,0.009762503220492758
321,111,185,0.00907270450869309
322,111,187,0.008768346768468138
323,111,189,0.007835765096252237
324,111,191,0.00907424012523048
325,111,193,0.01127621872022025
326,111,196,0.007084888189269478
327,111,197,0.00953236294824938
328,111,198,0.008769566955145414
329,111,200,0.009260881798025216
330,111,202,0.009178745460365607
331,111,203,0.0122688494823529
332,111,206,0.009079825441983037
333,111,207,0.009362520263077212
334,111,211,0.009127497618161355
335,111,216,0.00993342333902078
336,111,217,0.010485284973334692
337,111,222,0.008337843287920572
338,111,225,0.010260575438172223
339,111,228,0.008984303260851378
340,111,231,0.008863553843956361
341,111,234,0.00870296147821467
342,111,246,0.008901121484283661
343,111,249,0.00899517834100325
